"tick","id","utility"
3.0,41,0.0
3.0,20,0.0
3.0,4,0.0
3.0,54,1.4304925052329902
3.0,57,0.0
3.0,45,0.0
3.0,53,1.0
3.0,3,0.0
3.0,25,0.0
3.0,27,0.0
3.0,8,0.0
3.0,50,0.0
3.0,18,0.0
3.0,38,1.6472135954999578
3.0,21,1.0
3.0,35,0.0
3.0,14,0.0
3.0,55,0.0
3.0,47,0.0
3.0,6,1.5941614853994788
3.0,5,0.0
3.0,59,0.0
3.0,24,0.0
3.0,42,0.0
3.0,19,0.0
3.0,32,0.0
3.0,43,0.0
3.0,61,0.0
3.0,33,0.0
3.0,17,0.0
3.0,31,0.0
3.0,64,0.0
3.0,40,0.0
4.0,13,0.0
4.0,52,0.0
4.0,7,0.0
4.0,30,0.0
4.0,12,0.0
4.0,23,0.0
4.0,11,0.0
4.0,60,2.694427190999916
4.0,39,0.0
4.0,2,0.0
4.0,51,0.0
4.0,0,0.0
4.0,58,0.0
4.0,36,2.093340048800269
4.0,56,0.0
4.0,62,0.0
4.0,26,0.0
4.0,49,72.42543462246158
4.0,48,0.0
4.0,46,3.296282473420411
4.0,16,0.0
4.0,37,0.0
4.0,22,0.0
4.0,28,0.0
4.0,10,0.0
4.0,15,0.0
4.0,29,0.0
4.0,1,0.0
4.0,44,0.0
4.0,34,0.0
4.0,63,0.0
4.0,9,0.0
4.0,41,0.0
4.0,20,0.0
4.0,4,0.0
4.0,54,1.0
4.0,57,0.0
4.0,45,0.0
4.0,53,1.0
4.0,3,0.0
4.0,25,0.0
4.0,27,0.0
4.0,8,0.0
4.0,50,0.0
4.0,18,0.0
4.0,38,1.9737989260664888
4.0,21,1.0
4.0,35,0.0
4.0,14,0.0
4.0,55,0.0
4.0,47,0.0
4.0,6,1.0
4.0,5,0.0
4.0,59,0.0
4.0,24,0.0
4.0,42,0.0
4.0,19,0.0
4.0,32,0.0
4.0,43,0.0
4.0,61,0.0
4.0,33,0.0
4.0,17,0.0
4.0,31,0.0
4.0,64,0.0
4.0,40,0.0
5.0,13,0.0
5.0,52,0.0
5.0,7,0.0
5.0,30,0.0
5.0,12,0.0
5.0,23,0.0
5.0,11,0.0
5.0,60,2.564008683890399
5.0,39,0.0
5.0,2,0.0
5.0,51,0.0
5.0,0,0.0
5.0,58,0.0
5.0,36,2.093340048800269
5.0,56,0.0
5.0,62,0.0
5.0,26,0.0
5.0,49,72.42543462246158
5.0,48,0.0
5.0,46,3.2374823778690183
5.0,16,0.0
5.0,37,0.0
5.0,22,0.0
5.0,28,0.0
5.0,10,0.0
5.0,15,0.0
5.0,29,0.0
5.0,1,0.0
5.0,44,0.0
5.0,34,0.0
5.0,63,0.0
5.0,9,0.0
5.0,41,0.0
5.0,20,0.0
5.0,4,0.0
5.0,54,1.0
5.0,57,0.0
5.0,45,0.0
5.0,53,1.0
5.0,3,0.0
5.0,25,0.0
5.0,27,0.0
5.0,8,0.0
5.0,50,0.0
5.0,18,0.0
5.0,38,2.3745966692414835
5.0,21,1.0
5.0,35,0.0
5.0,14,0.0
5.0,55,0.0
5.0,47,0.0
5.0,6,1.0
5.0,5,0.0
5.0,59,0.0
5.0,24,0.0
5.0,42,0.0
5.0,19,0.0
5.0,32,0.0
5.0,43,0.0
5.0,61,0.0
5.0,33,0.0
5.0,17,0.0
5.0,31,0.0
5.0,64,0.0
5.0,40,0.0
6.0,13,0.0
6.0,52,0.0
6.0,7,0.0
6.0,30,0.0
6.0,12,0.0
6.0,23,0.0
6.0,11,0.0
6.0,60,2.296282473420411
6.0,39,0.0
6.0,2,0.0
6.0,51,0.0
6.0,0,0.0
6.0,58,0.0
6.0,36,1.806989872636028
6.0,56,0.0
6.0,62,0.0
6.0,26,0.0
6.0,49,72.42543462246158
6.0,48,0.0
6.0,46,3.836948198456053
6.0,16,0.0
6.0,37,0.0
6.0,22,0.0
6.0,28,0.0
6.0,10,0.0
6.0,15,0.0
6.0,29,0.0
6.0,1,0.0
6.0,44,0.0
6.0,34,0.0
6.0,63,0.0
6.0,9,0.0
6.0,41,0.0
6.0,20,0.0
6.0,4,0.0
6.0,54,1.0
6.0,57,0.0
6.0,45,0.0
6.0,53,1.0
6.0,3,0.0
6.0,25,0.0
6.0,27,0.0
6.0,8,0.0
6.0,50,0.0
6.0,18,0.0
6.0,38,1.9737989260664888
6.0,21,1.0
6.0,35,0.0
6.0,14,0.0
6.0,55,0.0
6.0,47,0.0
6.0,6,1.4304925052329902
6.0,5,0.0
6.0,59,0.0
6.0,24,0.0
6.0,42,0.0
6.0,19,0.0
6.0,32,0.0
6.0,43,0.0
6.0,61,0.0
6.0,33,0.0
6.0,17,0.0
6.0,31,0.0
6.0,64,0.0
6.0,40,0.0
7.0,13,0.0
7.0,52,0.0
7.0,7,0.0
7.0,30,0.0
7.0,12,0.0
7.0,23,0.0
7.0,11,0.0
7.0,60,1.0
7.0,39,0.0
7.0,2,0.0
7.0,51,0.0
7.0,0,0.0
7.0,58,0.0
7.0,36,1.4304925052329902
7.0,56,0.0
7.0,62,0.0
7.0,26,0.0
7.0,49,72.42543462246158
7.0,48,0.0
7.0,46,4.38962252222068
7.0,16,0.0
7.0,37,0.0
7.0,22,0.0
7.0,28,0.0
7.0,10,0.0
7.0,15,0.0
7.0,29,0.0
7.0,1,0.0
7.0,44,0.0
7.0,34,0.0
7.0,63,0.0
7.0,9,0.0
7.0,41,0.0
7.0,20,0.0
7.0,4,0.0
7.0,54,1.0
7.0,57,0.0
7.0,45,0.0
7.0,53,1.0
7.0,3,0.0
7.0,25,0.0
7.0,27,0.0
7.0,8,0.0
7.0,50,0.0
7.0,18,0.0
7.0,38,1.806989872636028
7.0,21,1.0
7.0,35,0.0
7.0,14,0.0
7.0,55,0.0
7.0,47,0.0
7.0,6,1.0
7.0,5,0.0
7.0,59,0.0
7.0,24,0.0
7.0,42,0.0
7.0,19,0.0
7.0,32,0.0
7.0,43,0.0
7.0,61,0.0
7.0,33,0.0
7.0,17,0.0
7.0,31,0.0
7.0,64,0.0
7.0,40,0.0
8.0,13,0.0
8.0,52,0.0
8.0,7,0.0
8.0,30,0.0
8.0,12,0.0
8.0,23,0.0
8.0,11,0.0
8.0,60,86.13451630357014
8.0,39,0.0
8.0,2,0.0
8.0,51,0.0
8.0,0,0.0
8.0,58,0.0
8.0,36,1.0
8.0,56,0.0
8.0,62,0.0
8.0,26,0.0
8.0,49,72.42543462246158
8.0,48,0.0
8.0,46,4.125795580833945
8.0,16,0.0
8.0,37,0.0
8.0,22,0.0
8.0,28,0.0
8.0,10,0.0
8.0,15,0.0
8.0,29,-84.16071737750364
8.0,1,0.0
8.0,44,0.0
8.0,34,0.0
8.0,63,0.0
8.0,9,0.0
8.0,41,0.0
8.0,20,0.0
8.0,4,0.0
8.0,54,64.7824053587744
8.0,57,0.0
8.0,45,0.0
8.0,53,1.0
8.0,3,0.0
8.0,25,0.0
8.0,27,0.0
8.0,8,1.0
8.0,50,0.0
8.0,18,0.0
8.0,38,2.296282473420411
8.0,21,1.0
8.0,35,0.0
8.0,14,0.0
8.0,55,0.0
8.0,47,0.0
8.0,6,1.0
8.0,5,0.0
8.0,59,0.0
8.0,24,0.0
8.0,42,0.0
8.0,19,0.0
8.0,32,0.0
8.0,43,0.0
8.0,61,0.0
8.0,33,0.0
8.0,17,0.0
8.0,31,0.0
8.0,64,0.0
8.0,40,0.0
9.0,13,0.0
9.0,52,0.0
9.0,7,1.0
9.0,30,0.0
9.0,12,0.0
9.0,23,0.0
9.0,11,0.0
