simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100,TileWorld_2,50,100,2,60,60,2,40,500,100

tick,agent,score,energy,location,target
192.0,2,44,332,[87, 45],[88, 46]
193.0,2,44,330,[89, 46],[92, 49]
193.0,1,42,323,[5, 16],null
194.0,1,42,323,[5, 16],null
194.0,2,44,330,[89, 46],[92, 49]
195.0,1,42,322,[5, 17],[5, 19]
195.0,2,44,329,[90, 47],[92, 49]
196.0,2,44,327,[92, 49],null
196.0,1,42,320,[5, 19],null
197.0,1,42,320,[5, 19],null
197.0,2,44,327,[92, 49],null
198.0,1,42,318,[5, 21],[4, 23]
198.0,2,44,325,[92, 1],null
199.0,1,42,318,[5, 21],[4, 23]
199.0,2,44,325,[92, 1],null
200.0,2,47,325,[92, 1],null
200.0,1,42,317,[5, 22],[4, 23]
201.0,2,47,323,[92, 3],[92, 4]
201.0,1,42,315,[3, 23],[2, 24]
202.0,2,47,322,[92, 4],null
202.0,1,42,314,[2, 24],null
203.0,2,47,322,[92, 4],null
203.0,1,42,314,[2, 24],null
204.0,2,47,320,[94, 5],[96, 7]
204.0,1,42,312,[4, 24],[5, 23]
205.0,2,47,319,[95, 6],[96, 7]
205.0,1,42,311,[5, 23],null
206.0,2,47,318,[96, 7],null
206.0,1,42,310,[4, 23],[3, 23]
207.0,2,47,318,[96, 7],null
207.0,1,42,310,[4, 23],[3, 23]
208.0,1,42,308,[3, 22],[5, 20]
208.0,2,47,316,[98, 9],null
209.0,1,42,308,[3, 22],[5, 20]
209.0,2,47,316,[98, 9],null
210.0,1,42,307,[4, 21],[5, 20]
210.0,2,47,316,[98, 9],null
211.0,1,42,305,[6, 20],[9, 20]
211.0,2,47,314,[99, 11],null
212.0,1,42,304,[7, 20],[9, 20]
212.0,2,55,314,[99, 11],null
213.0,1,42,304,[7, 20],[9, 20]
