simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100

tick,agent,score,energy,location,target
100.0,1,8,403,[55, 24],[57, 22]
101.0,2,8,403,[17, 7],null
101.0,1,8,402,[56, 23],[57, 22]
102.0,1,8,401,[57, 22],null
102.0,2,8,402,[17, 6],[17, 5]
103.0,2,8,401,[17, 5],null
103.0,1,8,400,[57, 21],[58, 18]
104.0,1,8,399,[57, 20],[58, 18]
104.0,2,8,400,[16, 5],[14, 3]
105.0,2,8,399,[15, 4],[14, 3]
105.0,1,8,398,[57, 19],[58, 18]
106.0,2,8,398,[14, 3],null
106.0,1,8,397,[58, 18],null
107.0,1,8,395,[60, 18],[62, 16]
107.0,2,8,396,[16, 4],null
108.0,1,8,395,[60, 18],[62, 16]
108.0,2,8,396,[16, 4],null
109.0,1,8,394,[61, 17],[62, 16]
109.0,2,8,395,[17, 4],[18, 4]
110.0,2,8,394,[18, 4],null
110.0,1,8,393,[62, 16],null
111.0,2,8,393,[18, 5],[17, 6]
111.0,1,8,392,[62, 15],[60, 12]
112.0,2,8,392,[17, 6],null
112.0,1,8,391,[62, 14],[60, 12]
113.0,2,8,390,[15, 7],[14, 8]
113.0,1,8,389,[60, 12],null
114.0,2,8,390,[15, 7],[14, 8]
114.0,1,8,389,[60, 12],null
115.0,1,8,388,[61, 12],[63, 13]
115.0,2,8,388,[15, 8],[18, 8]
116.0,2,8,388,[15, 8],[18, 8]
116.0,1,8,388,[61, 12],[63, 13]
117.0,1,8,386,[63, 13],null
117.0,2,8,387,[16, 8],[18, 8]
118.0,1,16,386,[63, 13],null
118.0,2,8,386,[17, 8],[18, 8]
119.0,2,8,386,[17, 8],[18, 8]
119.0,1,16,386,[63, 13],null
120.0,1,16,384,[65, 11],[67, 9]
120.0,2,8,385,[18, 8],null
121.0,2,8,384,[18, 7],[20, 4]
121.0,1,16,383,[66, 10],[67, 9]
122.0,1,16,383,[66, 10],[67, 9]
122.0,2,8,384,[18, 7],[20, 4]
123.0,2,8,382,[19, 5],[20, 4]
123.0,1,16,381,[67, 8],[65, 5]
124.0,2,8,382,[19, 5],[20, 4]
124.0,1,16,381,[67, 8],[65, 5]
125.0,2,8,380,[20, 5],[20, 8]
125.0,1,16,379,[66, 6],[65, 5]
126.0,2,8,380,[20, 5],[20, 8]
126.0,1,16,379,[66, 6],[65, 5]
127.0,1,16,377,[65, 6],[65, 7]
127.0,2,8,378,[20, 7],[20, 8]
128.0,2,8,378,[20, 7],[20, 8]
128.0,1,16,377,[65, 6],[65, 7]
129.0,2,8,376,[20, 7],[19, 5]
129.0,1,16,375,[65, 8],[66, 11]
130.0,2,8,376,[20, 7],[19, 5]
130.0,1,16,375,[65, 8],[66, 11]
131.0,1,16,373,[65, 10],[66, 11]
131.0,2,8,374,[19, 5],null
132.0,1,16,372,[66, 11],null
132.0,2,8,373,[20, 5],[22, 7]
133.0,2,8,373,[20, 5],[22, 7]
133.0,1,16,372,[66, 11],null
134.0,1,16,371,[66, 12],[63, 15]
134.0,2,8,372,[21, 6],[22, 7]
135.0,2,8,370,[21, 7],[20, 7]
135.0,1,16,369,[64, 14],[63, 15]
136.0,2,8,369,[20, 7],null
136.0,1,16,368,[63, 15],null
137.0,2,8,369,[20, 7],null
137.0,1,16,368,[63, 15],null
138.0,2,8,367,[22, 6],null
138.0,1,16,366,[65, 14],[67, 12]
139.0,1,16,366,[65, 14],[67, 12]
