simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100,TileWorld_2,50,100,2,60,60,2,40,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100

tick,agent,score,energy,location,target
152.0,1,25,356,[15, 35],[14, 36]
153.0,1,25,356,[15, 35],[14, 36]
154.0,1,25,354,[14, 35],[15, 33]
155.0,1,25,353,[14, 34],[15, 33]
156.0,1,25,352,[15, 33],null
157.0,1,25,351,[15, 34],[15, 36]
158.0,1,25,351,[15, 34],[15, 36]
159.0,1,25,350,[15, 35],[15, 36]
160.0,1,25,349,[15, 36],null
161.0,1,25,347,[17, 35],null
162.0,1,25,346,[16, 34],[13, 31]
163.0,1,25,345,[15, 33],[13, 31]
164.0,1,25,344,[14, 32],[13, 31]
165.0,1,25,343,[13, 31],null
166.0,1,25,342,[12, 31],[9, 34]
167.0,1,25,341,[11, 32],[9, 34]
168.0,1,25,341,[11, 32],[9, 34]
169.0,1,25,340,[10, 33],[9, 34]
170.0,1,25,338,[10, 34],[13, 35]
171.0,1,25,338,[10, 34],[13, 35]
172.0,1,25,337,[11, 34],[13, 35]
173.0,1,25,336,[12, 34],[13, 35]
174.0,1,25,335,[13, 35],null
175.0,1,25,334,[13, 34],[13, 32]
176.0,1,25,333,[13, 33],[13, 32]
177.0,1,25,332,[13, 32],null
178.0,1,25,331,[12, 31],null
179.0,1,25,330,[12, 30],[12, 28]
180.0,1,25,329,[12, 29],[12, 28]
181.0,1,25,328,[12, 28],null
182.0,1,25,327,[12, 27],[15, 24]
183.0,1,25,326,[13, 26],[15, 24]
184.0,1,25,324,[15, 24],null
185.0,1,25,324,[15, 24],null
186.0,1,25,323,[15, 25],[16, 28]
187.0,1,25,322,[15, 26],[16, 28]
188.0,1,25,320,[16, 28],null
189.0,1,25,320,[16, 28],null
190.0,1,25,319,[15, 28],[14, 29]
191.0,1,25,318,[14, 29],null
192.0,1,25,317,[14, 28],null
193.0,1,25,315,[16, 28],null
194.0,1,25,315,[16, 28],null
195.0,1,25,314,[15, 28],[12, 25]
196.0,1,25,313,[14, 27],[12, 25]
197.0,1,25,312,[13, 26],[12, 25]
198.0,1,25,310,[12, 26],[12, 28]
199.0,1,25,309,[12, 27],[12, 28]
200.0,1,25,308,[12, 28],null
201.0,1,25,307,[11, 28],[9, 26]
202.0,1,25,306,[10, 27],[9, 26]
203.0,1,25,305,[9, 26],null
204.0,1,25,305,[9, 26],null
205.0,1,25,304,[9, 25],[9, 22]
206.0,1,25,302,[9, 23],[9, 22]
207.0,1,25,301,[9, 22],null
208.0,1,25,301,[9, 22],null
209.0,1,25,300,[9, 23],[11, 25]
210.0,1,25,299,[10, 24],[11, 25]
211.0,1,25,298,[11, 25],null
212.0,1,25,297,[12, 25],[15, 25]
213.0,1,25,296,[13, 25],[15, 25]
214.0,1,25,295,[14, 25],[15, 25]
215.0,1,25,294,[15, 25],null
216.0,1,25,293,[14, 25],[12, 25]
217.0,1,25,293,[14, 25],[12, 25]
218.0,1,25,292,[13, 25],[12, 25]
219.0,1,25,290,[13, 25],[16, 27]
220.0,1,25,289,[14, 25],[16, 27]
221.0,1,25,289,[14, 25],[16, 27]
222.0,1,25,287,[16, 27],null
223.0,1,25,287,[16, 27],null
224.0,1,25,286,[16, 28],[18, 30]
225.0,1,25,285,[17, 29],[18, 30]
226.0,1,25,284,[18, 30],null
227.0,1,25,283,[18, 29],[21, 26]
228.0,1,25,282,[19, 28],[21, 26]
229.0,1,25,280,[21, 26],null
230.0,1,25,279,[20, 25],[19, 24]
231.0,1,25,279,[20, 25],[19, 24]
232.0,1,25,278,[19, 24],null
233.0,1,25,276,[17, 24],[16, 23]
234.0,1,25,276,[17, 24],[16, 23]
235.0,1,25,275,[16, 23],null
236.0,1,25,273,[16, 25],[15, 26]
237.0,1,25,273,[16, 25],[15, 26]
238.0,1,25,272,[15, 26],null
239.0,1,25,270,[15, 24],null
240.0,1,25,270,[15, 24],null
241.0,1,25,269,[15, 25],[16, 26]
